亡国の王子 マルス
心癒やす翼 シーダ
赤の騎士 カイン
緑の騎士 アベル
護りの騎士 ドーガ
解放軍の弓兵 ゴードン
癒やしの僧 リフ
豪腕の剣闘士 オグマ
タリスの戦士 サジ
タリスの斧使い マジ
凄腕の剣客 ナバール
辺境の聖女 レナ
風の魔道士 マリク
マケドニアの王女 ミネルバ
マケドニアの妹姫 マリア
大司祭ミロアの娘 リンダ
愛深き騎士 ミディア（エラッタ...
天馬を駆る姉騎士 パオラ
天馬を駆る女騎士 カチュア
天馬を駆る妹騎士 エスト
愛深き勇者 アストリア（エラッ...
神竜族の王女 チキ
アリティアの王女 エリス
異邦の剣士 アテナ
英雄王の末裔 クロム
聖王の血を引く者 ルキナ
記憶を失くした軍師 ルフレ(女)
飛び跳ねシスター リズ
穏和な騎士団長 フレデリク
貴族的な弓使い ヴィオール
勇敢な紅騎士 ソワレ
お人好しな碧騎士 ソール
花占いの乙女 スミア
女嫌いの剣士 ロンクー
罵詈雑言の令嬢 マリアベル
お菓子好き盗賊 ガイア
若き天才騎士 ティアモ
不敵なる傭兵 グレゴ
おてんばマムクート ノノ
ペレジア王国の呪術師 サーリャ
竜好きの竜騎士 セルジュ
壊れた心の呪術師 ヘンリー
異界より来た男の子 マーク(男)
鉄仮面の竜騎士 ジェローム
伝説の継承者 ウード
秘めた憧憬 セレナ
二つの心を持つ弓兵 ノワール
花咲く笑顔 アズール
竜を秘めし王子 カムイ(男)
白夜の第一王子 リョウマ
白夜の第一王女 ヒノカ
白夜の弟王子 タクミ
白夜の妹王女 サクラ
白夜の影忍 サイゾウ
古風な忍 カゲロウ
ぼんやり弓使い セツナ
飄々とした僧 アサマ
破天荒な侍 ヒナタ
魔王顔の槍使い オボロ（エラッ...
お転婆侍 カザハナ
眉目秀麗な武者 ツバキ
ドジっ娘メイド フェリシア
戦狂いの女武者 ユウギリ
お茶目な呪い師 オロチ
炎の娘 リンカ
少年呪い師 ツクヨミ
恩返しの妖狐 ニシキ
竜の幼姫 カンナ(女)
甘党の忍 グレイ
天才肌の少女武者 マトイ
執念の呪い師 シャラ
見習い天馬武者 エマ
竜を秘めし王女 カムイ(女)
暗夜の第一王子 マークス
暗夜の第一王女 カミラ
暗夜の弟王子 レオン
暗夜の妹姫 エリーゼ
花咲く笑顔 ラズワルド
殺戮本能 ピエリ
冷徹なる殺し屋 ベルカ
秘めた憧憬 ルーナ
力を封印せし者 オーディン
愉悦の囁き ゼロ
怪力の重騎士 エルフィ
不運なヒーロー ハロルド
忠実なる執事 ジョーカー
忠節なる老騎士 ギュンター
呪われし呪術師 ニュクス
可憐な乙女戦士 シャーロッテ
強面の重騎士 ブノワ
人狼のリーダー フランネル
竜の御子 カンナ(男)
可愛らしい王子 フォレオ
女の子大好き ソレイユ
受け継がれし感性 オフェリア
黒陰の教師 シェイド
クリミアの騎士 アイク
遺された姫 エリンシア
世話好きな妹 ミスト
赤髪の斧騎士 ティアマト
黒衣の参謀 セネリオ
穏やかな槍騎士 オスカー
臆せぬ戦士 ボーレ
小さき弓使い ヨファ
病弱な神官 キルロイ
辛辣な狙撃手 シノン
惚れっぽい重歩兵 ガトリー
元気いっぱいの剣士 ワユ
儚き魔法少女 イレース
明るい天馬騎士 マーシャ
獣牙族の娘 レテ
神出鬼没の情報屋 フォルカ
熱血斧騎士 ケビン
寡黙な民兵 ネフェニー
さすらいの剣士 ツイハーク
忠国の騎士 ジル
お嬢様騎士 ステラ
神使親衛隊の副長 タニス
気さくな戦士 ライ
紅竜の軍師 イナ
白夜王国の王女 カムイ(女)
闇の侍 レオン
可憐な忍 エリーゼ
涼風の忍 スズカゼ
田舎娘 モズメ
歌う天馬武者 シグレ
未完の大器 シノノメ（エラッタ...
前向きな弓使い キサラギ
歌詠みの巫女 ミタマ
冷静沈着の侍 ヒサメ
じゃれつき妖狐 キヌ
鶴翼の剣客 ユズ
暗夜王国の王子 カムイ(男)
白き風の騎士 タクミ
慈しみの重騎士 サクラ
友情の騎士 サイラス
未来の暗夜王 ジークベルト
無気力な杖使い ディーア
邪な空想 エポニーヌ
幸運なヒーロー ルッツ
臆病な重騎士 イグニス
人狼の娘 ベロア
おっちょこちょいな騎士 ゾフィー
謎多き行商人 アンナ
体当たりアイドル 織部 つばさ
幻影の天馬騎士 シーダ
華麗なピンチヒッター 赤城 斗馬
勇猛なる幻影騎兵 カイン
勇気のまもりん 源 まもり
堅牢堅固な幻影騎士 ドーガ
絆を知った男 剣 弥代
寡黙なる紅き幻影 ナバール
暗黒戦争の英雄 オグマ
グルニアの王女 ユミナ
グルニアの王子 ユベロ
お年頃シスター マリーシア
優しき翼の白騎士 パオラ
疾き翼の白騎士 カチュア
若き翼の白騎士 エスト
元サムシアンの盗賊 ジュリアン
謎の剣士 シリウス
ナバールを名乗る剣士 サムトー
朱き女騎士 ミネルバ
ウェンデルの高弟 マリク
心優しき狼 ロシェ
狼騎士団の団長 ウルフ
狼騎士団の副長 ザガロ
不動の狼 ビラク
タレント見習い 蒼井 樹
若き幻影の君主 クロム
クールビューティー 黒乃 霧亜
幻影の闇魔術師 サーリャ
グイグイヒロイン 弓弦 エレオノーラ
華麗なる幻影弓手 ヴィオール（...
タグエルの末裔 ベルベット
スイートな盗賊 ガイア
情に厚い傭兵 グレゴ
美貌の僧侶 リベラ
ソンシンの王女 サイリ
豪胆王 バジーリオ
女傑王 フラヴィア
剣を取りし村人 ドニ
幼き村人 ドニ
異界より来た女の子 マーク(女)
英雄の血を継ぐ男 ウード
照れ屋の傭兵 アズール
強面の僧侶 ブレディ
正々堂々 デジェル
英雄志願 シンシア
迷いの刃 セレナ
怖がりタグエル シャンブレー
真理の探究者 ロラン
炎の子 ロイ
魔道の天才 リリーナ
猛ける騎士 アレン
静かなる騎士 ランス
フェレ家の弓使い ウォルト
鉄壁の重騎士 ボールス
姫に仕えるシスター エレン
手負いの虎 ディーク
向こう見ずな傭兵 ワード
慎重な斧戦士 ロット
半人前の天馬騎士 シャニー
決意の魔法少年 ルゥ
名家のお嬢様 クラリーネ
仇敵を追う剣豪 ルトガー
クトラ族の少女 スー
一流を目指す刃 フィル
疾風の天馬騎士 ティト
隠れ里の予言者 ソフィーヤ
無邪気な竜娘 ファ
伝説の天馬騎士 ユーノ
風来の双剣騎 ランド
暁の乙女 ミカヤ
緑風 サザ
路地裏の剣士 エディ
心正しき弓使い レオナルド
能ある斧使い ノイス
とぼけた聖女 ローラ
心優しき槍兵 ブラッド
素朴な村娘 メグ
砂塵の黒狼 オルグ
不屈の魔道使い トパック
砂漠の水 ムワリム
黒き竜騎士 ハール
最強の村娘 ネフェニー
女王の剣士 ルキノ
女王の騎士 ジョフレ
真白き天馬騎士 シグルーン
ベグニオンの神使 サナキ
静寂の風使い セネリオ
気ままな尻尾 リィレ
王国の要 ユリシーズ
白衣の黒司祭 シェイド
グランベルの聖騎士 シグルド
精霊の森の少女 ディアドラ
お転婆な姫 エスリン
見習い騎士 フィン
赤き騎士道 ノイッシュ
軽妙なる緑騎 アレク
ヴェルトマーの公子 アゼル
想いを秘めた弓 ミデェール
ユングヴィの公女 エーディン
幼き盗賊魂 デュー
誇り高き女剣士 アイラ
ヴェルダンの王子 ジャムカ
不敗の剣闘士 ホリン
風使い レヴィン
不敵な自由騎士 ベオウルフ
主君を捜す翼 フュリー
オーガヒルの海賊 ブリギッド
フリージの公女 ティルテュ
雪国よりの使い マーニャ
ヴェルトマー家当主 アルヴィス
あらためてペガサス エマ
暗夜最強の騎士 マークス
妖艶な花 カミラ
闇魔法の天才 レオン
可憐な妹 エリーゼ
穢れなき殺意 ピエリ
空飛ぶ暗殺者 ベルカ
歪んだ愉悦 ゼロ
力を蓄えし騎士 エルフィ
ついてない英雄 ハロルド
癒しの氷妹 フェリシア
癒しの氷姉 フローラ
忠義の風 スズカゼ
名を捨てた賊 アシュラ
禁忌のダークマージ ニュクス
研鑽を積む王子 ジークベルト
強運の竜騎士 ルッツ
ひやくのけんきゅうか ミドリコ
怖がりな盾 イグニス
気高き暗夜王 ガロン
透魔王国の王女 シェンメイ
お仕置きメイド シェイド
オスティアの勇将 ヘクトル
草原の公女 リン
真面目な紅騎士 ケント
お調子者の碧騎士 セイン
内気な天馬騎士 フロリーナ
かしましいシスター セーラ
クトラ族長の息子 ラス
心優しき修道士 ルセア
明るい村娘 レベッカ
侯弟のお目付役 オズイン
駆ける剣士 ギィ
兄想いの姫君 プリシラ
気高き傭兵 レイヴァン
知識の探究者 カナス
穢れなき白翼 フィオーラ
銀の魔道軍将 パント
金紫の貴婦人 ルイーズ
「牙」の見習い ニノ
心なき殺人道具 ジャファル
「すご腕」の天馬騎士 ファリナ
邪道の双剣 ランド
白夜一の剣豪 リョウマ
火の如き王女 ヒノカ
風神の継承者 タクミ
慈しみの妹 サクラ
五代目 サイゾウ
白夜のくノ一 カゲロウ
うっかり弓使い セツナ
元気な少女剣士 カザハナ
完璧の為の努力 ツバキ
忠実な杖騎士 ジョーカー
大人の呪い師 オロチ
幼なじみの騎士 サイラス
豪快な女竜騎士 クリムゾン
砂塵の侍 フウガ
眼鏡の賢人 ユキムラ
槍術を磨く王子 シノノメ
落ち着く天才 ヒサメ
もてなしのプライド ディーア
至誠の白夜王 スメラギ
白夜の王妃 ミコト
紫影の忍 ユズ
もう一人の神剣使い ルキナ
聖王の半身 ルフレ(女)
高貴なるさすらいの弓手 ヴィオール
血気盛んな斧使い ヴェイク
冷静な魔道研究家 ミリエル
花の如き天馬 スミア
存在感のない重騎士 カラム
大人になりたい魔道士 リヒト
名門貴族の令嬢 マリアベル
呪い好きの闇使い サーリャ
国亡き忠騎 セルジュ
記憶喪失の男の子 マーク(男)
秘めし追憶 ジェローム
秘められた一矢 ノワール
しっかり者のマムクート ンン
いにしえを知る眠り姫 チキ
心優しき聖王女 エメリナ
ペレジア王 ギャンレル
暗闇の遊女 インバース
異形の兵士 屍兵
異形の兵士 屍兵
異形の兵士 屍兵
双斧の雇われ騎士 ランド
悲劇の皇女 ユリア
剣姫の息子 スカサハ
勇壮な女剣士 ラクチェ（エラッ...
ティルナノグの杖使い ラナ
シアルフィの従者 オイフェ
ティルナノグの弓騎士 レスター
見習い天馬騎士 フィー
アルスターを目指す魔道士 アーサー
愛に生きる斧騎士 ヨハン
愛と正義の斧戦士 ヨハルヴァ
騎士イーヴの娘 ジャンヌ
イザークの剣豪 シャナン
無邪気な盗賊 パティ
獅子の子 アレス
苦悩する雷 ティニー
子供思いの傭兵 ファバル
シレジアの勇者 セティ
トラキアの王女 アルテナ
名将の子供 コープル
闇の皇子 ユリウス
がっぽりドラゴン エマ
バレンシアを救う者 アルム
慈愛の王女 セリカ
要領の良い男 グレイ(バレンシア)
頼れる幼なじみ グレイ(バレンシア)
望郷の狙撃手 ロビン
空気の読めない幼なじみ ロビン
冷ややかな情熱 クリフ
ラムの村の少女 エフィ
ソフィア解放軍の使い ルカ
ミラに仕える修道女 シルク
戦うお嬢様 クレア
解放軍のリーダー クレーベ
元気な魔道少女 メイ
ノーヴァの幼きシスター ジェニー
金目当ての傭兵 セーバー
美しき女騎士 マチルダ
森の村の火の玉娘 デューテ
記憶をなくした騎士 ジーク
ソフィアの王子 コンラート
黒の貴公子 ベルクト
ドキドキファルコン エマ
暗き迷宮の聖女 シェイド
凶暴なる碧光 アル
リキア同盟の将軍 ロイ
タニアの王女 ティーナ
貝殻の守り人 ガント
地獄の底の剣士 キルマー
闇を求める少年 レイ
ジード飛竜隊の隊長 ジード
その力、一個師団級 ジェミー
ベルンの王子 ゼフィール
紫煌の守り手 ユズ
ガリアを継ぐ者 スクリミル
ガリアの女戦士 レテ
優しき背 モゥディ
鷹王の耳 ウルキ
鷹王の目 ヤナフ
竜鱗族の娘 イナ
傭兵団の妹 ミスト
さすらいの傭兵 ツイハーク
フィザットを継ぐ者 ジル
戦場の風を読む男 ランド
ヘズルの血を引く王女 ナンナ
怒れる斧戦士 オーシン
静かなる勇者 ハルヴァン
男勝りな弓戦士 タニア
イス村の若者 ロナン
神に仕えし者 サフィ
リフィス海賊団の頭領 リフィス
気ままな自由騎士 フェルグス
可憐なペガサスライダー カリン
疾風の女剣士 マチュア
誓いの魔道士 アスベル
サバンの傭兵 シヴァ
流れる剣聖の血 マリータ
盗賊に捕まったシスター ティナ
ターラの竜騎士 ディーン(ユグドラル)
ロプトの姫君 サラ
四天馬騎士の娘 ミーシャ
光の公子の使者 デルムッド
マギ団の団長 セティ
重装のお目付役 バルジャン
白き道の少女 カンナ(女)
暗き道の少年 カンナ(男)
竜牙の王子 カムイ(男)
竜角の王女 カムイ(女)
狭間を彷徨う心 シグレ
天真爛漫な狐娘 キヌ
甘美なる情熱 グレイ
才色兼備の働き者 マトイ
不思議な呪い少女 シャラ
イズモ公王 イザナ
宵闇フォーチュンテラー オフェリア
暴かれた楽園 エポニーヌ
女の子好きの遺伝子 ソレイユ
リトル・ガルムガール ベロア
王国きっての怪力戦士 ガンズ
暗夜王国の軍師 マクベス
アスク王国の王子 アルフォンス
アスク王国の王女 シャロン
特務機関の隊長 アンナ
謎の仮面騎士 ブルーノ
エンブラの皇女 ヴェロニカ
輝く正義のティアラ アリス
真銀の聖騎士 ゼト
真面目な天馬騎士 ヴァネッサ
戦士ガルシアの息子 ロス
涙眼の弓少女 ネイミー
気さくな盗賊 コーマ
奇知なる魔道 ルーテ
真実を知るシスター ナターシャ
ジャハナの王子 ヨシュア
情熱の騎士 カイル
奔放の騎士 フォルデ
フレリアの王女 ターナ
戦場の花 アメリア
初陣の新兵 アメリア
フレリアの王子 ヒーニアス
ジスト傭兵団の隊長 ジスト
正義の美少女 ラーチェル
竜人族の少女 ミルラ
秀麗の緑翼 シレーネ
グラドの皇子 リオン
人喰い大蜘蛛 バール
戦場のティータイム アリス
礼儀正しき重騎行 バルジャン
リゲルの王子 アルム
ソフィアの姫 セリカ
羽ばたく想い エフィ
森の村の才子 リュート
島育ちの魔道士 ボーイ
家族思いの兵士 バルボ
流れ者の傭兵剣士 カムイ
兄貴の弓 レオ
神に仕える剣豪 ユズ
朝帰りの聖騎士 ランド
無敵の聖剣 シオン
不屈の聖剣 リアン
イーリスの英雄 クロム
戦斧の聖少女 リズ
慈しみの桜矢 サクラ
可憐なマジカルスマッシュ エリーゼ
アリティアの英雄 マルス
神出鬼没の行商人 アンナ
双剣の公女 リン
グストン国の王子 ダリオス
英雄となる青年 アイク
メダリオンを持つ少女 ミスト
デインの剣騎 ガウェイン
澄んだ心の杖使い エルナ
銀の髪の魔道将 ミカヤ
奇跡の乙女 ミカヤ
傭兵団の知恵者 セネリオ
明るい王宮天馬騎士 マーシャ
苦労性の天馬騎士 マーシャ
闇の情報屋 フォルカ
騎士となった令嬢 ステラ
ろくでなしの兄貴 マカロフ
隠れ里の剣士 ソーンバルケ
一流の魔道使い カリル
デインの槍鎧 タウロニオ
一流の狂戦士 ラルゴ
翔騎の血を引く姫 エリンシア
マラドの女領主 フリーダ
孤独なる剣 ゼルギウス
デインの王子 アシュナード
ゴルドアの長子 ラジャイオン
混沌より来たる者 ニーヴ
血気盛んな王子 クロム
無邪気な妹王女 リズ
危機に翔けつける翼 スミア
女嫌いの竜騎士 ロンクー
長生きな幼竜 ノノ
ソンシンの剣姫 サイリ
まどろみの竜姫 チキ
勇者の末裔 パリス
ソンシン王 レンハ
ヴァルム帝国皇帝 ヴァルハルト
アグストリアの聖騎士 エルトシャン
兄を慕う姫 ラケシス
王血を引く黒騎士 アレス
未来のシアルフィ当主 シグルド
戦場を渡り歩く男 ベオウルフ
名軍師スサールの孫 オイフェ
修行中の天馬騎士 フェミナ
解放軍の雷 リンダ（ユグドラル）
フリージの王女 イシュタル
見習いペガサスナイト エマ
新たなる誓い エリウッド
ロルカ族の少女剣士 リン
親友との旅路 フロリーナ
旅の弓使い ウィル
家族想いの戦士 ドルカス
かよわい(?)シスター セーラ
陽気な密偵 マシュー
食にこだわる従騎士 ロウエン
鋼の壮漢 ヘクトル
古代魔法の研究家 カナス
天馬騎士団第五部隊長 フィオーラ
砂漠の守護者 ホークアイ
若きリグレ公爵 パント
リグレの許婚候補 ルイーズ
剣に生きる者 カレル
噛み砕く牙 ヴァイダ
謎の修道士 レナート
第三部隊所属の天馬騎士 ファリナ
兄を捜す剣士 カアラ
華麗なる影 レイラ
混沌を舞う魔槍騎 ニーヴ
タリスの翔姫 シーダ
アリティアの緑騎 アベル
捧身の騎士 フレイ
アリティア一の聖騎士 ジェイガン
アリティアの赤騎 カイン
捕虜となった弓兵 ゴードン
王子を守る重騎士 ドーガ
義勇兵の少女 ノルン
強面の海賊 ダロス
賊に雇われたハンター カシム
心優しいシスター レナ
お調子者の盗賊 リカード
異国の少女剣士 アテナ
光の魔道士 リンダ
流れ者の闇魔道士 エッツェル
伝説の英雄 エクラ
ニフルの王女 フィヨルム
魔杖の軍師 ロキ
ムスペルの王女 レーヴァテイン
武人の如き少女 ユズ
邪道の騎士 ランド
裏剣の聖騎士 ルキナ
運命の邂逅 クロム
自警団の軍師 ルフレ(男)
自警団の軍師 ルフレ(女)
磨き続ける才能 ティアモ
記憶喪失の女の子 マーク(女)
小さな少年軍師 マーク(男)
魔剣(？)の継承者 ウード
決闘の鎧少女 デジェル
砂塵舞う地で ロラン
いつか天馬騎士団に！ シンシア
ヒーローを目指す者 シンシア
叩き込まれた作法 ブレディ
一族の希望 シャンブレー
あんたバカじゃないの？ セレナ
幼き竜の娘 ンン
秘密のダンスレッスン アズール
仮面に秘めた想い ジェローム
異形の兵士 屍兵
異形の兵士 屍兵
異形の兵士 屍兵
可能性を秘めた若者 蒼井 樹
高貴なる衣替え アリス
石鹸香る鎧将 バルジャン
嘆きの獣 カムイ(男)
鎮魂の歌姫 アクア
天駆ける勇王女 ヒノカ
巧弓の若君 タクミ
花名を戴く姫 サクラ
堕ちゆく騎影 ギュンター
悪名高き修験者 アサマ
お揃いの総髪 オボロ
頼もう！道場破りだ！ヒナタ
涙の妹姫 エリーゼ
傭兵団長の息子 アイク
追憶の歌声 ミスト
穏やかな努力家 オスカー
対戦相手を探す戦士 ボーレ
戦える日を目指して ヨファ
争いを好まぬ神官 キルロイ
憎まれ口の弓兵 シノン
気楽な傭兵稼業 ガトリー
傭兵団の切れ者 セネリオ
不逞の兄を持つ少女 マーシャ
アリティアの英雄王子 マルス
若き騎士志願者 クリス(男)
軍師を目指す少女 カタリナ
小さな弓兵 ライアン
熱血な従騎士 ルーク
冷静な従騎士 ロディ
カダインの魔道士 マリク
タリスの英雄 オグマ
マケドニアの妹騎士 エスト
マケドニアの天馬騎士 カチュア
マケドニアの姉騎士 パオラ
生き残った王女 ユミナ
生き残った王子 ユベロ
優秀なる高弟 エルレーン
安くない傭兵 マリス
外の世界へ! チキ
グラの王女 シーマ
飛竜の国の王女 マリア
暗躍する影 クライネ
スタア誕生物語 織部 つばさ
嘆きの獣 カムイ(女)
艶色の王女 カミラ
才覚あるプリンス レオン
暗道に咲く蕾 エリーゼ
一流の執事を目指して ジョーカー
勝気な少女傭兵 ルーナ
血が騒ぐ魔道士 オーディン
貧民街の盗賊 ゼロ
心を持たぬ怪物 ノスフェラトゥ
星界の城を守る竜 リリス
無限の仮説と検証 ニーヴ
レンスターの光 リーフ
トラキアで育った王女 アルテナ
レンスターの嫡子 キュアン
シアルフィの公女 エスリン
グランベルの光の公子 セリス
ハンニバル将軍の息子 シャルロー
トラキアの女竜騎士 エダ
ターラの公女 リノアン
野心家の盟主 トラバント
雷神の副官 ラインハルト
不良騎士かく語りき ランド
リキアの希望 ロイ
幼なじみの公女 リリーナ
頼れる傭兵隊長 ディーク
傭兵団の天馬騎士 シャニー
リグレ家の小公女 クラリーネ
神の愛の伝道者 サウル
神に仕える弓兵 ドロシー
オスティアの新人 オージェ
可憐な重騎士 ウェンディ
リグレ家の貴公子 クレイン
紅蓮の竜騎士 ミレディ
理想郷の巫女 ソフィーヤ
隠れ里の竜少女 ファ
世長けた魔道士 ヒュウ
おてんばなプリンセス セルディア
ベルンの精鋭騎士 ゲイル
旅立ちの刻 セリカ
セリカさまのためなら！ メイ
ノーヴァの村人 ボーイ
海の上の用心棒 セーバー
異邦より来た姉騎士 パオラ
異邦より来た天馬騎士 カチュア
元軍人の村人 アトラス
盗賊団の魔道士 ソニア
異邦より来た妹騎士 エスト
幼き日の思い出 コンラート
ソウルレス・ソーサレス シェイド
ベグニオン帝国第37代皇帝 サナキ
優しき白天馬 シグルーン
厳しき黒天馬 タニス
ラグズを救う少年 トパック
自由のための蜂起 ムワリム
黒翼の翔女 ビーゼ
兜に秘めた怒り ネフェニー
竜の国の王子 クルトナーガ
ベグニオンの英雄 ゼルギウス
ベグニオン皇帝宰相 セフェラン
ビックリ！神天馬！ エマ
冥府の翼姫 エイル
ヘルの王女 エイル
死の国の魔将 スラシル
死の国の剣将 リーヴ
仲間思いの戦士 サジ
人情に厚い斧使い マジ
平和を願う義勇兵 バーツ
アカネイアのアーチャー ジョルジュ
長き眠りからの目醒め チキ
ソフィア最後の王女 セリカ
軍で一番の壊し屋 クロム
凛々しく可憐な赤騎士 ソワレ
おっちょこちょいな緑騎士 ソール
花香る天馬騎士 スミア
天才少女の秘密 ティアモ
ハリウッド的スーパー女優 弓弦 ...
白き夜明けの王女 カムイ(女)
祖国を護る弓王子 タクミ
白夜の姫君 サクラ
のんびり弓使い セツナ
隠れ里の妖狐 ニシキ
ちっちゃなくすし ミドリコ
暗き帳の王子 カムイ(男)
愛情深き竜王女 カミラ
暗夜のプリンセス エリーゼ
貧民街の殺し屋 ベルカ
カイエン峰に棲む人狼 フランネル
商売上手な行商人 アンナ
団長アイクの妹 ミスト
「印」を持つ魔道士 セネリオ
家族を捜す少年 サザ
花と子供を愛する男 ダラハウ
クリミア再興軍の当主 エリンシア
熱き翼の魔王 ティバーン
忠心の女魔道士 ブルーニャ
烈火の公子 エリウッド
「黒い牙」の娘 ニノ
月の腕輪を持つ王女 エイリーク
戦いを挑む優姫 エイリーク
勇王の騎士 ゼト
純明なる聖者 アスレイ
優秀なる魔炎使い ルーテ
騎士の心を持つ公子 シグルド
精霊の森の巫女 ディアドラ
不動の重騎士 アーダン
ヴェルトマー家の若炎 アゼル
ドズル家の若斧 レックス
イザークの剣姫 アイラ
槍騎士となった王子 リーフ
元傭兵の教師 ベレト
黒鷲を統べる者 エーデルガルト
エーギル家の貴公子 フェルディナント
ベルグリーズ家の腕白少年 カスパル
ヴァーリ家の引き籠もり娘 ベル...
元歌劇団の歌姫 ドロテア
ブリギット王の孫娘 ペトラ
青獅子を背負う者 ディミトリ
強面の従者 ドゥドゥー
フラルダリウス家の嫡子 フェリクス
素直な心の弓手 アッシュ
優しく朗らかな女生徒 メルセデス
明るい努力家 アネット
ガラテア家の希望 イングリット
金鹿を束ねる者 クロード(フォドラ)
食欲旺盛な青年 ラファエル
豪商の次男坊 イグナーツ
コーデリア家の才女 リシテア
エドマンド辺境伯の養女 マリアンヌ
「壊刃」の一番弟子 レオニー
花と光の異邦人 ポー
邪痕を持つ軍師 ルフレ(女)
聖王を護る王子 クロム
お家のベッドで眠りたい リズ
返恩の獣騎士 ベルベット
甘党の盗賊 ガイア
天与の才を持つ少女 ティアモ
気の良い傭兵 グレゴ
イーリス教の聖職者 リベラ
物陰より呪いをこめて サーリャ
闇夜の虚笑 ヘンリー
クールなトップアーティスト 黒...
使命に挑む勇王子 エフラム
ルネス騎士団の若騎士 フランツ
静かなる重壁 ギリアム
