プリンセス ミネルバ(箔押し)
天馬三姉妹の長姉 パオラ(箔押し)
天馬三姉妹の次女 カチュア(箔押し)
天馬三姉妹の末っ子 エスト(箔押し)
聖王の神軍師 ルフレ(女)(サイン入り)
イーリス聖王国の王女 リズ(サイ...
孤高の刃 ロンクー(箔押し)
花の似合う男 アズール(箔押し)
白き歌い手 アクア(箔押し)
爆炎使い サイゾウ(箔押し)
桜花の守り人 カザハナ(箔押し)
完璧なる翼 ツバキ(箔押し)
黒き歌い手 アクア(箔押し)
美装の王子 フォレオ(箔押し)
陽光に立つ剣士 ソレイユ(箔押し)
宵闇のソーサラー オフェリア(箔押し)
解放への疾槍 ネフェニー(箔押し)
決意の赤竜騎 ジル(箔押し)
フェニキス王 ティバーン(箔押し)
キルヴァス王 ネサラ(箔押し)
星瞳の戦巫女 ミタマ(箔押し)
金毛の妖娘 キヌ(箔押し)
義賊×乙女 エポニーヌ(箔押し)
父愛深き仔狼 ベロア(箔押し)
全国民の妹 源 まもり(サイン入り)
一流を超えた一流 剣 弥代(サイ...
仮面の黒騎士 シリウス(箔押し)
マケドニア王 ミシェイル(箔押し)
クールｏｒキュート？ 黒乃 霧亜...
プレシャスアクトレス 弓弦 エレ...
時の迷い子 マーク(女)(箔押し)
正義の翼 シンシア(箔押し)
百戦錬磨の強者 ディーク(箔押し)
イリアの元気な花 シャニー(箔押し)
イリアの凜々しき花 ティト(箔押し)
イリアの優美な花 ユーノ(箔押し)
ハタリの女王 ニケ(箔押し)
清真女王 エリンシア(箔押し)
凍風の参謀 セネリオ(箔押し)
ゴルドアの王子 クルトナーガ(箔押し)
獅子王 エルトシャン(箔押し)
不撓の姫騎士 エスリン(箔押し)
蒼き忠槍 フィン(箔押し)
獅子の妹 ラケシス(箔押し)
恍惚の伝道者 ゼロ(箔押し)
可愛い破壊神 フェリシア(箔押し)
フローズンハート フローラ(箔押し)
暴虐の暗夜王 ガロン(箔押し)
晴雲の天馬少女 フロリーナ(箔押し)
ワガママ気ままな少女司祭 セー...
つつましき野花 レベッカ(箔押し)
死神と呼ばれた男 ジャファル(箔押し)
祝賀の忍装束 サイゾウ(箔押し)
祝賀の晴れ姿 カゲロウ(箔押し)
のんきな金鵄武者 セツナ(箔押し)
剣鬼となりし王 スメラギ(箔押し)
神竜の力を得た聖王 ルキナ(箔押し)
見えない盾 カラム(箔押し)
気高き友情の乙女 マリアベル(箔押し)
悠久を生きる巫女 チキ(箔押し)
天を舞う流星 ラクチェ(箔押し)
魔剣の継承者 アレス(箔押し)
清光の雷姫 ティニー(箔押し)
侠勇の神射手 ファバル(箔押し)
一途な恋心 エフィ(箔押し)
天下の用心棒 セーバー(箔押し)
リゲルの黒騎士 ジーク(箔押し)
覇者への妄執 ベルクト(サイン入り)
美しき才炎 リリーナ(箔押し)
闇の申し子 レイ(箔押し)
獣牙の少女指揮官 レテ(箔押し)
グレイル傭兵団の団長 アイク(箔押し)
フィアナの女神 エーヴェル(箔押し)
風に導かれた少年 アスベル(箔押し)
月と星の剣士 マリータ(箔押し)
カリスマの騎士 デルムッド(箔押し)
在るべき路の果てに シグレ(箔押し)
泡沫の歌姫 アクア(箔押し)
金色の笑顔 シャロン(サイン入り)
闇衣の魔道騎士 ブルーノ(サイン入り)
聖なる雷剣の姫 エイリーク(箔押し)
熱き炎槍の王子 エフラム(箔押し)
策謀の王子 ヒーニアス(箔押し)
光の聖王女 ラーチェル(箔押し)
無垢なる竜人 ミルラ(箔押し)
見つめる黒翼 エフィ(サイン入り)
光輝なる騎士道 クレーベ(サイン入り)
眠る宝への嗅覚 アンナ(サイン入り)
紅の聖騎士 ティアマト(箔押し)
活路を開く賢風 セネリオ(サイン入り)
獅子の末裔 ソーンバルケ(箔押し)
クリミア女王 エリンシア(サイン入り)
覚醒めし正義 クロム(箔押し)
未来を望む聖眼 ルキナ(箔押し)
救世の神竜 ナーガ(箔押し)
光の血を引く騎士 シグルド(箔押し)
影に捧ぐ挽歌 マシュー(サイン入り)
運命の遭逢 ニニアン(サイン入り)
「生きた伝説」の弟子 パント(箔押し)
溢れる愛の弓 ルイーズ(箔押し)
アリティアの守護神 ドーガ(箔押し)
危機に駆けつける弓 ノルン(箔押し)
気高き愛の聖女 レナ(箔押し)
地を薙ぐ炎剣 レーヴァテイン(サ...
美しき天才翔騎 ティアモ(箔押し)
伝説を作る者…その名は ウード(...
天才の血を引く少女 セレナ(箔押し)
小さな頑張り屋 ンン(サイン入り)
白き竜血を引く王子 リョウマ(箔押し)
寿ぐ桜花の巫女 サクラ(箔押し)
父の魂を継ぐ者 アイク(箔押し)
勝負！勝負！また勝負！ ワユ(サ...
明紅の竜騎 エスト(サイン入り)
蒼閃の竜騎 カチュア(サイン入り)
翠風の竜騎 パオラ(サイン入り)
伝説を携えし王女 エリス(サイン入り)
黒き竜血を引く王子 マークス(箔押し)
穢れなき彩花の姫 エリーゼ(箔押し)
地神に連なる王子 キュアン(箔押し)
トラキア王 トラバント(箔押し)
父譲りの魔才 クラリーネ(箔押し)
母譲りの弓才 クレイン(箔押し)
暗闇の巫女 イドゥン(箔押し)
二つの顔を持つ王子 コンラート(...
楽園を夢見た女神 ミラ(サイン入り)
成長する焔 トパック(箔押し)
祖国を愛する闘槍 ネフェニー(箔押し)
大いなる皇女 ヴェロニカ(サイン入り)
蒼き炎の紋章 メダリオン(箔押し)
