猛牛と呼ばれし騎士 カイン
黒豹と呼ばれし騎士 アベル
疾風の賢者 マリク
プリンセス ミネルバ
オーラの継承者 リンダ
天馬三姉妹の長姉 パオラ
天馬三姉妹の次女 カチュア
天馬三姉妹の末っ子 エスト
聖王の神軍師 ルフレ(女)
イーリス聖王国の王女 リズ
心優しき自警団の花 スミア
孤高の刃 ロンクー
永遠の幼子 ノノ
照れ屋の踊り子 オリヴィエ
ロザンヌの守護者 セルジュ
花の似合う男 アズール
白き歌い手 アクア
爆炎使い サイゾウ
暗夜を屠る者 オボロ
桜花の守り人 カザハナ
完璧なる翼 ツバキ
サイゾウを継ぐ者 グレイ
完璧を追う翼 マトイ
昏き愛炎の陰陽師 シャラ
黒き歌い手 アクア
舞い斬る華麗な勇士 ラズワルド
イノセント・キラー ピエリ
負けず嫌いな弓騎士 ルーナ
選ばれし闇の者 オーディン
美装の王子 フォレオ
陽光に立つ剣士 ソレイユ
宵闇のソーサラー オフェリア
兄を捜す聖天馬 マーシャ
解放への疾槍 ネフェニー
決意の赤竜騎 ジル
ガリアの獣牙戦士 ライ
フェニキス王 ティバーン
キルヴァス王 ネサラ
セリノスの王子 リュシオン
目覚めしサギの王女 リアーネ
白き神竜王子 カンナ(男)
美声の聖天馬 シグレ
星瞳の戦巫女 ミタマ
金毛の妖娘 キヌ
誓いの親友 サイラス
黒き神竜姫 カンナ(女)
義賊×乙女 エポニーヌ
父愛深き仔狼 ベロア
全国民の妹 源 まもり
一流を超えた一流 剣 弥代
聖女を捜すシーフ ジュリアン
仮面の黒騎士 シリウス
さすらいの舞姫 フィーナ
超魔法の継承者 マリク
草原の狼 ハーディン
マケドニア王 ミシェイル
クールｏｒキュート？ 黒乃 霧亜
プレシャスアクトレス 弓弦 エレ...
闇夜の甘き芳香 ガイア
解放軍の剣姫 サイリ
時の迷い子 マーク(女)
神に選ばれし者 ウード
笑顔の運び手 アズール
正義の翼 シンシア
炎の如き忠騎 アレン
疾風の如き忠騎 ランス
百戦錬磨の強者 ディーク
イリアの元気な花 シャニー
理の申し子 ルゥ
イリアの凜々しき花 ティト
神と呼ばれし竜 ファ
イリアの優美な花 ユーノ
陽気な剣豪 エディ
ハタリの女王 ニケ
清真女王 エリンシア
憂国の闘姫 ネフェニー
永遠なる忠誠の剣 ルキノ
神使親衛隊の隊長 シグルーン
凍風の参謀 セネリオ
ゴルドアの王子 クルトナーガ（...
獅子王 エルトシャン
不撓の姫騎士 エスリン
蒼き忠槍 フィン
獅子の妹 ラケシス
旅の踊り子 シルヴィア
氷雪の翔騎 フュリー
目覚めし聖射手 ブリギッド
空に舞う英雄 マーニャ
見敵必殺 ベルカ
恍惚の伝道者 ゼロ
ナイト・オブ・マイト エルフィ
可愛い破壊神 フェリシア
フローズンハート フローラ
暁暗の王子 ジークベルト
暴虐の暗夜王 ガロン
裏切りの老騎士 ギュンター
リキア一の騎士 エリウッド
晴雲の天馬少女 フロリーナ
ワガママ気ままな少女司祭 セーラ
柔らかな光 ルセア
つつましき野花 レベッカ
愛と復讐の剣 レイヴァン
死神と呼ばれた男 ジャファル
冷酷なる蒼鴉 ウルスラ
祝賀の忍装束 サイゾウ
祝賀の晴れ姿 カゲロウ
のんきな金鵄武者 セツナ
武人の魂を持つ少女 カザハナ
傍らに立つ切り札 ジョーカー
再会の親友 サイラス
雷神を継ぐ覚悟 シノノメ
剣鬼となりし王 スメラギ
神竜の力を得た聖王 ルキナ
ヴィオール家の当主 ヴィオール
見えない盾 カラム
気高き友情の乙女 マリアベル
暗き悋気の炎 サーリャ
二人の英雄の血を継ぐ者 ウード
悠久を生きる巫女 チキ
破滅と滅亡の竜 ギムレー
光の皇子 セリス
天を舞う流星 ラクチェ
英雄への憧れ フィー
魔剣の継承者 アレス
ダーナの踊り子 リーン
清光の雷姫 ティニー
侠勇の神射手 ファバル
グランベル皇帝 アルヴィス
篤き友情の弓騎士 ロビン
一途な恋心 エフィ
天下の用心棒 セーバー
究極魔法の使い手 デューテ
リゲルの黒騎士 ジーク
覇者への妄執 ベルクト
予言されし炎 ロイ
美しき才炎 リリーナ
双剣の隼 キルマー
闇の申し子 レイ
超キッツイのあげちゃう！ ジェミー
獣牙の少女指揮官 レテ
ガリア王 カイネギス
グレイル傭兵団の団長 アイク
穏静の剣使い ツイハーク
ゴルドア王 デギンハンザー
レンスター軍の盟主 リーフ
フィアナの女神 エーヴェル
蘇る美しき舞 ラーラ
風に導かれた少年 アスベル
疾黒の剣客 シヴァ
月と星の剣士 マリータ
カリスマの騎士 デルムッド
風の聖戦士 セティ
在るべき路の果てに シグレ
泡沫の歌姫 アクア
フォックス・イン・ブラック キヌ
六代目サイゾウ グレイ
逆転勝利の予行練習 オフェリア
白妙の狼娘 ベロア
金色の笑顔 シャロン
闇衣の魔道騎士 ブルーノ
聖なる雷剣の姫 エイリーク
熱き炎槍の王子 エフラム
泣き撃ちの狙撃手 ネイミー
策謀の王子 ヒーニアス
砂漠の虎 ジスト
光の聖王女 ラーチェル
無垢なる竜人 ミルラ
魔に冒されし清心 リオン
見つめる黒翼 エフィ
光輝なる騎士道 クレーベ
究極の聖女 ジェニー
金色の豪将 バルボ
絆の聖君主 クロム
希望の英雄王 マルス
眠る宝への嗅覚 アンナ
草原の凜風 リン
明けぬ慟哭の夜 グレイル
紅の聖騎士 ティアマト
活路を開く賢風 セネリオ
火消し フォルカ
運命に立ち向かう弓 ステラ
獅子の末裔 ソーンバルケ
クリミア女王 エリンシア
デイン王 アシュナード
覚醒めし正義 クロム
未来を望む聖眼 ルキナ
