救国の英雄 マルス(サイン入り)
愛を説く翼 シーダ(サイン入り)
紅の死神 ナバール(サイン入り)
新たなる聖王 クロム(箔押し)
未来を知る者 ルキナ(サイン入り)
愛と執念の闇使い サーリャ(箔押し)
神刀に選ばれし皇子 カムイ(男)(...
轟雷の剣聖 リョウマ(サイン入り)
仁愛の戦巫女 サクラ(サイン入り)
神刀に選ばれし皇女 カムイ(女)(...
暗黒の聖騎士 マークス(サイン入り)
暗天の明星 エリーゼ(サイン入り)
神剣の勇将 アイク(サイン入り)
宿敵を待つ少女 ワユ(サイン入り)
神装の魔将 漆黒の騎士(サイン入り)
黎明の歌姫 アクア(サイン入り)
逢魔の歌姫 アクア(サイン入り)
氷のメイド フローラ(サイン入り)
セイクリッドアイドル 織部 つば...
覚醒するヒーロー 赤城 斗馬(サ...
光の英雄王 マルス(サイン入り)
ザ・ライトスタッフ 蒼井 樹(サ...
聖瞳の公主 ルキナ(サイン入り)
聖王の神軍師 ルフレ(男)(サイン入り)
封炎を受け継ぎし者 ロイ(サイン入り)
可憐な盟主 リリーナ(箔押し)
狡猾なる竜将 ナーシェン(サイン入り)
希望の巫女 ミカヤ(サイン入り)
希望の守護者 サザ(サイン入り)
ベグニオン皇帝 サナキ(箔押し)
光の戦士の末裔 シグルド(箔押し)
運命の聖女 ディアドラ(箔押し)
暗夜王国を統べる者 マークス(サ...
麗しき漆黒姫 カミラ(サイン入り)
冷魔の闇皇子 レオン(サイン入り)
暗野に咲く姫花 エリーゼ(サイン入り)
烈火を継ぐ勇者 エリウッド(箔押し)
剛腕の猛将 ヘクトル(箔押し)
白夜王国を統べる者 リョウマ(サ...
勇ましき真紅の翼 ヒノカ(サイン入り)
白き光風の王子 タクミ(サイン入り)
白夜に舞う桜花 サクラ(サイン入り)
希望の聖君主 クロム(サイン入り)
聖王の守護騎士 フレデリク(箔押し)
魔性の黒翼 インバース(箔押し)
光の救世主 セリス(箔押し)
光の神の末裔 ユリア(箔押し)
流星の剣皇 シャナン(箔押し)
予言されし勇者 アルム(サイン入り)
女神の血を継ぎし者 セリカ(サイ...
余裕の凄技 グレイ(バレンシア)(...
高貴なる解放の翼 クレア(サイン入り)
碧き覇者 アル(サイン入り)
希望を紡ぐ者 イナ(箔押し)
未来の賢王 リーフ(箔押し)
ブレイブ・プリンセス ナンナ(箔押し)
おちゃめな聖女 ティナ(箔押し)
夜を越えし姫 カンナ(女)(サイン入り)
夜を越えし王子 カンナ(男)(サイ...
金翼の王子 アルフォンス(サイン入り)
碧風の優王女 エイリーク(サイン入り)
碧空の勇王 エフラム(サイン入り)
稀代の天才魔道士 ルーテ(箔押し)
闇まとう魔道少女 デューテ(箔押し)
輝く日輪の王子 シオン(サイン入り)
麗しき陽花の王女 リアン(サイン入り)
蒼焔の神将 アイク(箔押し)
正なる癒しの戦騎 ミスト(サイン入り)
女神宿りし乙女 ミカヤ(箔押し)
ホーリー・プリンセス リズ(サイ...
獅子王女 ラケシス(サイン入り)
雷神と呼ばれし少女 イシュタル(...
烈炎の勇騎士 エリウッド(サイン入り)
青嵐の刀姫 リン(サイン入り)
激雷の闘将 ヘクトル(サイン入り)
神剣に選ばれし英雄 マルス(箔押し)
英雄王の翼 シーダ(箔押し)
凍土に咲く氷華 フィヨルム(サイ...
希望を統べる女王 ルキナ(サイン入り)
未来からの来訪者 ルフレ(女)(箔押し)
芳花のダンシング・ソード アズ...
闇の去り行く暁 カムイ(男)(サイ...
すべての路の果てに アクア(サイ...
ひだるき大賢者 イレース(箔押し)
幸せな夢と共に カタリナ(箔押し)
果て無き闘いの荒野で オグマ(箔押し)
ドラゴン・プリンセス チキ(箔押し)
光去り行く黄昏 カムイ(女)(サイ...
イエス・ユア・ハイネス ジョー...
二つの聖血を引く王子 リーフ(箔押し)
人と竜の未来を創る者 ロイ(箔押し)
業火と煌炎を操る者 リリーナ(箔押し)
邪神の贄となりし乙女 セリカ(箔押し)
可憐なる闇の統治者 メイ(サイン入り)
聖帝と称えられし者 サナキ(サイ...
優しき死神 エイル(サイン入り)
愛と勇気の英雄王 マルス(サイン入り)
正義と絆の聖王 クロム(サイン入り)
忠義の翠嵐 スズカゼ(サイン入り)
サポート&デストロイ！ フェリシ...
静かなる凄風 セネリオ(サイン入り)
双聖器を受け継ぐ姫 エイリーク(...
神血を宿す乙女 ディアドラ(サイ...
至天の世界の王子 アルフォンス(...
覇道を征く皇帝 エーデルガルト(...
復讐と妄執の王 ディミトリ(サイ...
卓上の鬼神 クロード(フォドラ)(...
ミストレス・オブ・カース サー...
正義と秩序の使者 ラーチェル(箔押し)
「緋閃」と呼ばれた少女 マリカ(...
神に刃を向ける者 エーデルガル...
女神をその身に宿せし者 ベレス(...
はじまりのもの ソティス(サイン入り)
神々の血を引く聖王 セリス(箔押し)
聖者の裔たる光女 ユリア(箔押し)
一騎当神の流星 ラクチェ(箔押し)
新たな未来を拓く王 カムイ（透...
満点桜の乙女武者 カザハナ(サイ...
フォビドゥン・キャスター ニュ...
デイン第１５代国王 ミカヤ(箔押し)
新たな伝説を創る者 アイク(箔押し)
クリミアの心 エリンシア(箔押し)
目醒めし救国の王 ディミトリ(箔押し)
夜明けを告げる翼 クロード（フ...
「業」を秘めし戦乙女 ハピ(サイ...
神将の意志を継ぐ騎士 エリウッ...
炎雷の盟主 リリーナ(箔押し)
幸夢を運ぶ少女 ピアニー(サイン入り)
光をもたらす英雄王 マルス(箔押し)
聖義を伝えし騎士 シグルド(箔押し)
凶星を灼く封炎 ロイ(箔押し)
蒼炎と神剣の英傑 アイク (箔押し)
英雄を束ねし王子 アルフォンス(...
神祖の力を受け継ぐ者 ベレト(箔押し)
七色の策を持つ軍師 ルフレ（女...
果てなき闘いの果てに アクア(箔押し)
