救国の英雄 マルス
愛を説く翼 シーダ
タリスの闘神 オグマ
紅の死神 ナバール
マムクート・プリンセス チキ
ブラックナイツ カミュ
新たなる聖王 クロム
未来を知る者 ルキナ
スイーテストアサシン ガイア
完璧なる天馬騎士 ティアモ
愛と執念の闇使い サーリャ
選ばれし希望の戦士 ウード
神刀に選ばれし皇子 カムイ(男)
轟雷の剣聖 リョウマ
紅蓮の将姫 ヒノカ
風纏う神射手 タクミ
仁愛の戦巫女 サクラ
敏腕メイド フェリシア
神刀に選ばれし皇女 カムイ(女)
暗黒の聖騎士 マークス
美しき死神 カミラ
ダークネス・プリンス レオン
暗天の明星 エリーゼ
ファイティング・バトラー ジョーカー
神剣の勇将 アイク
再興を祈る翼 エリンシア
聖心の戦乙女 ミスト
勇将の軍師 セネリオ
宿敵を待つ少女 ワユ
神装の魔将 漆黒の騎士
終焔の白神子 カムイ(女)
黎明の歌姫 アクア
挺身の風忍 スズカゼ
終焔の黒神子 カムイ(男)
逢魔の歌姫 アクア
氷のメイド フローラ
セイクリッドアイドル 織部 つばさ
覚醒するヒーロー 赤城 斗馬
光の英雄王 マルス
灼赤の将姫 ミネルバ
暗黒皇帝 ハーディン
救国の聖女 ニーナ
ザ・ライトスタッフ 蒼井 樹
聖瞳の公主 ルキナ
聖王の神軍師 ルフレ(男)
フェリアの鬼神 ロンクー
パーフェクト・ジーニアス ティアモ
愛慕の闘剣 セレナ
封炎を受け継ぎし者 ロイ
可憐な盟主 リリーナ
緋怨の修羅 ルトガー
剣聖を継ぐ者 フィル
竜血を継ぐ巫女 ソフィーヤ
狡猾なる竜将 ナーシェン
希望の巫女 ミカヤ
希望の守護者 サザ
永遠なる忠誠の槍 ジョフレ（エ...
ベグニオン皇帝 サナキ
蒼炎の勇者 アイク
頂へ昇る剣士 ワユ
光の戦士の末裔 シグルド
運命の聖女 ディアドラ
聖光を纏う槍騎 キュアン
流星の剣姫 アイラ
導きの風 レヴィン
神炎の継承者 アルヴィス
暗夜王国を統べる者 マークス
麗しき漆黒姫 カミラ
冷魔の闇皇子 レオン
暗野に咲く姫花 エリーゼ
荒ぶる女子力 シャーロッテ
透魔竜 ハイドラ
烈火を継ぐ勇者 エリウッド
剛腕の猛将 ヘクトル
精霊に認められし剣姫 リン
宿命の竜少女 ニニアン
魔道の申し子 ニノ
裁きの白狼 ロイド
白夜王国を統べる者 リョウマ
勇ましき真紅の翼 ヒノカ
白き光風の王子 タクミ
白夜に舞う桜花 サクラ
艶姿槍乙女 オボロ
