アリティアの王子 マルス
大司祭ミロアの娘 リンダ
イーリス聖王国の王子 クロム
穏和な騎士団長 フレデリク
紅瞳の猛牛 ソワレ
碧眼の黒豹 ソール
ドジっ娘メイド フェリシア
忠実なる執事 ジョーカー
傭兵団の副長 ティアマト
幻影のウタロイド チキ
クトラ族の少女 スー
シアルフィの公子 シグルド
レンスターの王子 キュアン
ノディオンの王子 エルトシャン
ラムの村の少年 アルム
ソフィアの神官戦士 セリカ
秘めた魔力の微笑み クリフ
甘え上手な聖女 ジェニー
紅髪の公子 エリウッド
ロルカ族の少女剣士 リン
鋼の壮漢 ヘクトル
英雄王となる者 マルス
聖痕を持つ王女 ルキナ
黒鷲の学級の級長 エーデルガルト
スターロード マルス(箔押し)
戦場を翔ける王女 シーダ
剛剣の使い手 オグマ
必殺剣の使い手 ナバール
聖王国の守護者 クロム(箔押し)
理知の瞳 ミリエル
未来を選びし王子 カムイ(男)(箔押し)
白夜の後継者 リョウマ
紅の戦姫 ヒノカ
神弓の使い手 タクミ
慈しみの巫女 サクラ
未来を選びし王女 カムイ(女)(箔押し)
暗夜の王太子 マークス
妖艶な魔竜騎士 カミラ
グラビティ・マスター レオン
可憐な戦術師 エリーゼ
クリミアの勇将 アイク(箔押し)
戦場に立つ王女 エリンシア
傭兵団の団長 グレイル
癒しの戦姫 ミスト
冷徹なる参謀 セネリオ
ロードに選ばれし若者 蒼井 樹(...
ペガサスのアイドル 織部 つばさ
爆進するヒーロー 赤城 斗馬
ひと味違うカリスマ 黒乃 霧亜
目指せハリウッド！ 弓弦 エレオ...
若き獅子 ロイ(箔押し)
気丈なる姫 リリーナ
忠実なる聖騎士 マーカス
朗らかな天馬騎士 シャニー
緋き復讐鬼 ルトガー
聖なる血を継ぐ者 シグルド(箔押し)
悲劇の聖女 ディアドラ
ノヴァの騎士 キュアン
最強の戦士 アルム(箔押し)
ソフィアの王女 セリカ
空と大地の剣士 リン(サイン入り)
烈火の君主 エリウッド
寄り添う優翼 フロリーナ
英雄アンリの末裔 マルス
聖王国の守護姫 ルキナ(箔押し)
大いなる傭兵 アイク
炎の若獅子 ロイ
「天帝」を託されし者 ベレス(サ...
若き傭兵の剣士 ベレス
揺るがぬ炎の意志 エーデルガルト
文武を修めし貴紳 ディミトリ
自由闊達な策士 クロード(フォドラ)
