救国の英雄 マルス,Marth B01-001SR Fire Emblem 0 Cipher Mint Booster Mystery of FE Heroes
愛を説く翼 シーダ,Caeda B01-004SR Fire Emblem 0 Cipher Booster 1 FE Heroes Mystery of
タリスの闘神 オグマ,Ogma B01-016SR Fire Emblem 0 Cipher Mint Booster 1 FE Mystery of Heroes
紅の死神 ナバール,Navarre  B01-022SR Fire Emblem 0 Cipher Booster 1 FE Heroes Mystery of
マムクート・プリンセス チキ,Tiki B01-046SR Fire Emblem 0 Cipher Booster 1 FE Heroes Mystery of
ブラックナイツ カミュ,Camus B01-050SR Fire Emblem 0 Cipher Mint FE Booster 1 Mystery of Heroes
新たなる聖王 クロム,Chrom: B01-051SR Fire Emblem 0 Cipher Booster Part 1 Mint FE Heroes
未来を知る者 ルキナ,Lucina B01-054SR Fire Emblem 0 Cipher Mint Booster 1 FE Awakening Heroes
スイーテストアサシン ガイア,Gaius: B01-073SR  Fire Emblem 0 Cipher Mint FE Heroes Booster Part 1
完璧なる天馬騎士 ティアモ,Cordelia B01-075SR Fire Emblem 0 Cipher Booster 1 FE Heroes Awakening
愛と執念の闇使い サーリャ,Tharja B01-080SR Fire Emblem 0 Cipher Booster 1 Mint Awakening FE Heroes
選ばれし希望の戦士 ウード,Owain B01-091SR Fire Emblem 0 Cipher Booster 1 FE Heroes Awakening
神刀に選ばれし皇子 カムイ(男),Corrin B02-001SR Fire Emblem 0 Cipher Booster 2 Mint FE If Fates Heroes
轟雷の剣聖 リョウマ,Ryoma B02-006SR Fire Emblem 0 Cipher Mint Booster 2 If Fates
紅蓮の将姫 ヒノカ,Hinoka B02-008SR Fire Emblem 0 Cipher Booster 2 Mint FE If Fates Heroes
風纏う神射手 タクミ,Takumi B02-010SR Fire Emblem 0 Cipher Booster 2 FE Heroes If Fates
仁愛の戦巫女 サクラ,Sakura B02-012SR Fire Emblem 0 Cipher Booster 2 FE Heroes If Fates
敏腕メイド フェリシア,Felicia: Capable Maid B02-030SR Fire Emblem 0 Cipher Mint FE Heroes Fate If
